
2024/11/25 (00:53:03) | ===> btop++ v.1.3.2
2024/11/25 (18:49:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:39) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:40) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:41) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:42) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:43) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:44) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:45) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:46) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:47) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:48) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:49) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:50) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:51) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:52) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:53) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:54) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:55) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:56) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:57) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:58) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:00) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:01) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:02) | WARNING: Error in Mem::collect() : std::future_error: No associated state
